n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
22,2,.72233611,.84289092,-.12055479,Barnet,18apr2020
87,2,.082696848,.18106918,-.098372333,Barnet,22jun2020
44,2,.73524064,.78653383,-.051293172,Barnet,10may2020
52,2,.75411522,.79099792,-.036882728,Barnet,18may2020
66,2,.65144843,.73986328,-.088414825,Barnet,01jun2020
2,2,1.1018443,1.2782553,-.17641102,Barnet,29mar2020
85,2,.18365106,.35173827,-.16808723,Barnet,20jun2020
6,2,.71804744,.94389421,-.22584675,Barnet,02apr2020
57,2,.61222279,.83067513,-.21845236,Barnet,23may2020
89,2,.023207355,.063822389,-.040615033,Barnet,24jun2020
71,2,.6139096,.81055707,-.19664748,Barnet,06jun2020
45,2,.71782529,.78416264,-.066337362,Barnet,11may2020
54,2,.73146886,.81154001,-.080071166,Barnet,20may2020
27,2,.68331957,.67172283,.01159673,Barnet,23apr2020
62,2,.61150658,.76808763,-.15658107,Barnet,28may2020
60,3,.8280822,.51607168,.31201053,Barnsley,26may2020
68,3,.88602257,.67584175,.2101808,Barnsley,03jun2020
27,3,.84880376,.82371491,.025088876,Barnsley,23apr2020
54,3,.77949268,.56838965,.21110301,Barnsley,20may2020
2,3,1.4655585,1.343415,.12214348,Barnsley,29mar2020
39,3,.96885794,.86231905,.10653887,Barnsley,05may2020
12,3,.88123393,.87381005,.0074238754,Barnsley,08apr2020
65,3,.89311558,.64328629,.24982928,Barnsley,31may2020
45,3,.70899236,.7474876,-.038495239,Barnsley,11may2020
1,3,1.5531459,1.4770681,.076077826,Barnsley,28mar2020
70,3,.90094304,.64053041,.2604126,Barnsley,05jun2020
85,3,.22787142,.15242432,.075447097,Barnsley,20jun2020
31,3,.84346479,.82443273,.019032056,Barnsley,27apr2020
36,3,.94904894,.87269199,.076356955,Barnsley,02may2020
51,3,.82254368,.60299528,.21954842,Barnsley,17may2020
22,3,.90735042,.80781114,.099539302,Barnsley,18apr2020
32,3,.8556574,.83243638,.023221025,Barnsley,28apr2020
34,3,.89547497,.85608816,.039386798,Barnsley,30apr2020
29,3,.83720112,.82068866,.016512468,Barnsley,25apr2020
89,3,.053999525,.024420833,.029578691,Barnsley,24jun2020
80,3,.50493401,.42761704,.077316955,Barnsley,15jun2020
41,3,.88771063,.83660614,.051104486,Barnsley,07may2020
72,3,.94629842,.57944751,.36685088,Barnsley,07jun2020
52,3,.81546479,.59022564,.22523913,Barnsley,18may2020
18,3,.92260945,.82656652,.096042946,Barnsley,14apr2020
9,3,1.0139401,.89947361,.11446647,Barnsley,05apr2020
58,3,.7793138,.51535249,.26396132,Barnsley,24may2020
17,3,.90868682,.83886665,.069820173,Barnsley,13apr2020
16,3,.89130688,.850398,.040908869,Barnsley,12apr2020
5,3,1.2651035,1.0553594,.20974413,Barnsley,01apr2020
3,3,1.3907803,1.2278719,.16290839,Barnsley,30mar2020
59,3,.80222547,.51170313,.29052237,Barnsley,25may2020
14,3,.86591673,.86571145,.00020528013,Barnsley,10apr2020
77,3,.7836675,.50369489,.27997261,Barnsley,12jun2020
23,3,.89418,.81315678,.081023201,Barnsley,19apr2020
19,3,.92877007,.81569213,.11307795,Barnsley,15apr2020
37,3,.97035438,.8738454,.096508987,Barnsley,03may2020
84,3,.26862475,.20377491,.064849839,Barnsley,19jun2020
11,3,.91136956,.87853789,.032831643,Barnsley,07apr2020
55,3,.76504552,.55450207,.21054348,Barnsley,21may2020
35,3,.92206317,.86641693,.055646233,Barnsley,01may2020
28,3,.84160256,.82229424,.01930833,Barnsley,24apr2020
53,3,.79819328,.57970655,.21848676,Barnsley,19may2020
64,3,.89127278,.61326283,.27800995,Barnsley,30may2020
81,3,.42407948,.37941936,.044660114,Barnsley,16jun2020
44,3,.73450816,.7723788,-.037870675,Barnsley,10may2020
71,3,.92227799,.61102742,.31125057,Barnsley,06jun2020
30,3,.83739471,.82074428,.016650414,Barnsley,26apr2020
46,3,.70271599,.72119331,-.018477326,Barnsley,12may2020
73,3,.96292359,.55166614,.41125742,Barnsley,08jun2020
38,3,.97897226,.87007016,.10890209,Barnsley,04may2020
86,3,.18230832,.10914742,.073160894,Barnsley,21jun2020
50,3,.81216967,.61982065,.192349,Barnsley,16may2020
67,3,.88870418,.67744827,.21125592,Barnsley,02jun2020
42,3,.82988411,.81824899,.011635125,Barnsley,08may2020
69,3,.88882023,.66293639,.22588386,Barnsley,04jun2020
63,3,.88491106,.58082759,.30408344,Barnsley,29may2020
79,3,.5949344,.46431124,.13062316,Barnsley,14jun2020
74,3,.96115398,.53208864,.42906532,Barnsley,09jun2020
57,3,.764283,.52489877,.23938423,Barnsley,23may2020
47,3,.7170276,.69375503,.023272583,Barnsley,13may2020
87,3,.13609535,.074050151,.062045194,Barnsley,22jun2020
7,3,1.1426961,.95272464,.18997154,Barnsley,03apr2020
90,3,.022506209,.011142806,.011363403,Barnsley,25jun2020
13,3,.86669135,.8700844,-.0033930661,Barnsley,09apr2020
25,3,.86826795,.82271552,.045552459,Barnsley,21apr2020
33,3,.87306941,.84379369,.029275727,Barnsley,29apr2020
21,3,.918998,.8056041,.11339392,Barnsley,17apr2020
62,3,.87179673,.55140072,.32039604,Barnsley,28may2020
66,3,.8920387,.66618085,.22585785,Barnsley,01jun2020
43,3,.77616835,.79626667,-.020098308,Barnsley,09may2020
82,3,.35799509,.32241079,.035584297,Barnsley,17jun2020
10,3,.95669752,.88624918,.070448339,Barnsley,06apr2020
75,3,.93066889,.52088881,.40978011,Barnsley,10jun2020
4,3,1.3251462,1.1317861,.19336012,Barnsley,31mar2020
20,3,.92684966,.8082608,.11858887,Barnsley,16apr2020
61,3,.85211897,.52935046,.32276851,Barnsley,27may2020
40,3,.93736941,.85116273,.08620666,Barnsley,06may2020
24,3,.88089627,.81887048,.062025774,Barnsley,20apr2020
83,3,.30846903,.26168078,.04678826,Barnsley,18jun2020
48,3,.74809492,.66639876,.08169613,Barnsley,14may2020
76,3,.86860275,.51314694,.35545582,Barnsley,11jun2020
78,3,.6893931,.48879927,.20059383,Barnsley,13jun2020
15,3,.87554812,.85943937,.016108746,Barnsley,11apr2020
26,3,.85756636,.82411885,.033447534,Barnsley,22apr2020
88,3,.092979915,.045847986,.04713193,Barnsley,23jun2020
6,3,1.2054412,.99663407,.20880719,Barnsley,02apr2020
49,3,.7845183,.64111567,.14340265,Barnsley,15may2020
8,3,1.0776926,.92098373,.15670891,Barnsley,04apr2020
56,3,.75932813,.53888345,.22044469,Barnsley,22may2020
71,4,.0069586746,.47115403,-.46419537,Bath and North East Somerset,06jun2020
37,4,.63281828,.60614526,.026673047,Bath and North East Somerset,03may2020
21,4,.55805409,.63196021,-.073906146,Bath and North East Somerset,17apr2020
67,4,.13121253,.60253298,-.47132048,Bath and North East Somerset,02jun2020
76,4,0,.38592818,-.38592818,Bath and North East Somerset,11jun2020
51,4,.60058045,.65891653,-.058336072,Bath and North East Somerset,17may2020
64,4,.26765615,.69640887,-.42875272,Bath and North East Somerset,30may2020
85,4,0,.17814365,-.17814365,Bath and North East Somerset,20jun2020
43,4,.62537527,.65911347,-.033738218,Bath and North East Somerset,09may2020
15,4,.66625404,.7883032,-.12204916,Bath and North East Somerset,11apr2020
74,4,0,.40666234,-.40666234,Bath and North East Somerset,09jun2020
75,4,0,.39339447,-.39339447,Bath and North East Somerset,10jun2020
65,4,.22140491,.67246282,-.45105788,Bath and North East Somerset,31may2020
3,4,1.4150996,1.2543947,.160705,Bath and North East Somerset,30mar2020
29,4,.55886823,.59246647,-.033598267,Bath and North East Somerset,25apr2020
48,4,.55393803,.70564163,-.1517036,Bath and North East Somerset,14may2020
42,4,.64649034,.63541424,.011076077,Bath and North East Somerset,08may2020
5,4,1.1825533,1.0824515,.10010187,Bath and North East Somerset,01apr2020
78,4,0,.37944049,-.37944049,Bath and North East Somerset,13jun2020
7,4,.97999084,.96840137,.011589486,Bath and North East Somerset,03apr2020
84,4,0,.22492613,-.22492613,Bath and North East Somerset,19jun2020
31,4,.55537599,.62869281,-.07331679,Bath and North East Somerset,27apr2020
62,4,.36459064,.70434046,-.33974984,Bath and North East Somerset,28may2020
26,4,.53686434,.56596708,-.029102717,Bath and North East Somerset,22apr2020
17,4,.63842165,.74277145,-.1043498,Bath and North East Somerset,13apr2020
24,4,.5280962,.5763483,-.048252106,Bath and North East Somerset,20apr2020
89,4,0,.041108392,-.041108392,Bath and North East Somerset,24jun2020
32,4,.55509359,.64395666,-.088863082,Bath and North East Somerset,28apr2020
41,4,.65896362,.61437643,.044587184,Bath and North East Somerset,07may2020
