date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2021-03-13,R,NA,estimate,1.020493012409853,1.0203841449616178,0.024880773893470518,0.97860333961663,1.0040665105598199,1.014156963218395,1.026857070281649,1.0363494775020659,1.0617491010868565
2021-03-14,R,NA,estimate,1.0077111268239638,1.0081951166233578,0.024803825832517674,0.9669651125416753,0.9921004148268584,1.0019581980311962,1.0139955770249294,1.024860738341574,1.0481060029454907
2021-03-15,R,NA,estimate,0.9863481396424164,0.9866925728185623,0.02416888130330551,0.9479422983469168,0.9706351175999702,0.9801511911724807,0.9922846998259196,1.0032695311056634,1.025758482425896
2021-03-16,R,NA,estimate,0.9566656570219493,0.9572112181505519,0.02313546060071592,0.921632107278423,0.9410966703745008,0.9505540689881212,0.963084364086513,0.9727958308615879,0.9965712030248894
2021-03-17,R,NA,estimate,0.9219735329452958,0.9223482027120521,0.02210541607682035,0.8881763165113769,0.9070608692826245,0.9157859192618738,0.9274093122010009,0.9374489691103611,0.9595541729901403
2021-03-18,R,NA,estimate,0.8846782825730064,0.8854302343227203,0.0214703415924253,0.8510348332709086,0.8712784803132236,0.8797595609977387,0.8903612119616853,0.9001454885159961,0.922634398895532
2021-03-19,R,NA,estimate,0.8501157695181802,0.8499018298816552,0.021348107828406564,0.8152618958206685,0.8354314804971903,0.8446924499283028,0.8547014310318284,0.8643907317388737,0.8862407491617067
2021-03-20,R,NA,estimate,0.8184649270656641,0.8188162531665341,0.02153602664931387,0.7837273306753044,0.80441550943841,0.8134107145274372,0.8239605929843838,0.8335514858662421,0.8536642929608246
2021-03-21,R,NA,estimate,0.7944214468029366,0.794525595296801,0.02170183001897689,0.759176538442957,0.7799838007211785,0.7884581880401971,0.7997327888639776,0.8100486886813194,0.8294588012957267
2021-03-22,R,NA,estimate,0.7776969636521329,0.7785663984008051,0.02159662176917967,0.7434706432242911,0.7642811540447022,0.772765362724523,0.7835209734787971,0.7936214598869007,0.8139219838077523
2021-03-23,R,NA,estimate,0.7716010567202413,0.7716737627989892,0.021156940507938468,0.7369269452814681,0.7571463446023252,0.7657874599501462,0.777021949348192,0.7862187067812607,0.805853550151143
2021-03-24,R,NA,estimate,0.7740324611948124,0.7738452126969908,0.02052110156734757,0.7407561569972402,0.7589499321472284,0.7686222526982174,0.7794481145349292,0.7884125198907683,0.8064368569875333
2021-03-25,R,NA,estimate,0.784779517194244,0.7844020415971162,0.019994082661684887,0.7526802298660653,0.7702725998442269,0.7795591433763427,0.7899639208492459,0.7981201704107167,0.8162314947721275
2021-03-26,R,NA,estimate,0.802586256631873,0.8020377279032213,0.019932208583472468,0.769357742697261,0.7889994328480714,0.7980805630419043,0.8071894100095616,0.8153350388254113,0.83424469267134
2021-03-27,R,NA,estimate,0.8255578298403037,0.8248808625660399,0.020527444194769873,0.790831736345246,0.8114182891536799,0.8203346219133384,0.8305507096877971,0.8384708072921344,0.8578230208748264
2021-03-28,R,NA,estimate,0.8504495663360517,0.8506193745384235,0.021630923706917524,0.8142184744275316,0.8365976577184362,0.8454443234584732,0.8559985025630915,0.8652192116785236,0.8856577924565042
2021-03-29,R,NA,estimate,0.8768482867354708,0.8767235975377723,0.022817958346804626,0.8398255947209383,0.8613174877820903,0.8709810617080035,0.882102205357515,0.8917346108719048,0.9134619769824677
2021-03-30,R,NA,estimate,0.9003012610248111,0.9007665402148822,0.023645085530103388,0.862044609080149,0.8850529088166995,0.8943361346712191,0.9063153894899612,0.9165215831505555,0.9396279383301354
2021-03-31,R,NA,estimate,0.920627824848648,0.9207849558930853,0.02388778777197409,0.8815735151261654,0.9048899630307422,0.9138972417597441,0.9263409210631319,0.9368073801083389,0.9604215037702589
